Data,,,,,Exponential Smoothning Method,,,,,,,,,,,,,,,,,,,,,Adjusted Exponential Smoothing F(t) ? = 0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Period,AMZN,NFLX,,F(t) ? = 0.20,AMZN,NFLX,MAPE AMZN,MAPE NFLX,F(t) ? = 0.40,AMZN,NFLX,MAPE AMZN,MAPE NFLX,F(t) ? = 0.60,AMZN,NFLX,MAPE AMZN,MAPE NFLX,F(t) ? = 0.80,AMZN,NFLX,MAPE AMZN,MAPE NFLX,,T(t) ? = 0.20,AMZN,NFLX,Af(t) AMZN,Af(t) NFLX,MAPE AMZN,MAPE NFLX,T(t) ? = 0.40,AMZN,NFLX,Af(t) AMZN,Af(t) NFLX,MAPE AMZN,MAPE NFLX,T(t) ? = 0.60,AMZN,NFLX,Af(t) AMZN,Af(t) NFLX,MAPE AMZN,MAPE NFLX,T(t) ? = 0.80,AMZN,NFLX,Af(t) AMZN,Af(t) NFLX,MAPE AMZN,MAPE NFLX
1/2/2020,1,94.90,329.81,,,94.90,329.81,,,,94.90,329.81,,,,94.90,329.81,,,,94.90,329.81,,,,,0.0000,0.0000,94.9005,329.8100,,,,0.0000,0.0000,94.9005,329.8100,,,,0.0000,0.0000,94.9005,329.8100,,,,0.0000,0.0000,94.9005,329.8100,,
1/3/2020,2,93.75,325.90,,,94.90,329.81,0.0123,0.0120,,94.90,329.81,0.0123,0.0120,,94.90,329.81,0.0123,0.0120,,94.90,329.81,0.0123,0.0120,,,0.0000,0.0000,94.9005,329.8100,0.0123,0.0120,,0.0000,0.0000,94.9005,329.8100,0.0000,0.0000,,0.0000,0.0000,94.9005,329.8100,0.0000,0.0000,,0.0000,0.0000,94.9005,329.8100,0.0000,0.0000
1/6/2020,3,95.14,335.83,,,94.67,329.03,0.0050,0.0203,,94.44,328.25,0.0074,0.0226,,94.21,327.46,0.0098,0.0249,,93.98,326.68,0.0122,0.0272,,,-0.1382,-0.4692,94.0711,326.9948,0.0113,0.0263,,-0.2765,-0.9384,93.9328,326.5256,0.0029,0.0029,,0.4147,0.4147,94.6240,327.8787,0.0044,0.0013,,0.5530,1.8768,94.7623,329.3408,0.0059,0.0057
1/7/2020,4,95.34,330.75,,,94.76,330.39,0.0061,0.0011,,94.72,331.28,0.0065,0.0016,,94.77,332.48,0.0060,0.0052,,94.91,334.00,0.0045,0.0098,,,0.0016,0.6286,94.7717,333.1121,0.0060,0.0071,,0.0584,1.4448,94.8286,333.9284,0.0006,0.0043,,-0.1706,-0.1706,94.5995,332.3130,0.0018,0.0005,,-0.3381,-3.6403,94.4321,328.8433,0.0036,0.0109
1/8/2020,5,94.60,339.26,,,94.88,330.46,0.0030,0.0259,,94.97,331.07,0.0039,0.0241,,95.11,331.44,0.0054,0.0230,,95.26,331.40,0.0070,0.0232,,,0.0700,0.2948,95.1839,331.7383,0.0062,0.0222,,0.1726,0.4508,95.2864,331.8943,0.0018,0.0014,,-0.2745,-0.2745,94.8394,331.1690,0.0029,0.0008,,-0.3426,0.1041,94.7713,331.5475,0.0036,0.0003
1/9/2020,6,95.05,335.66,,,94.82,332.22,0.0024,0.0102,,94.82,334.34,0.0024,0.0039,,94.80,336.13,0.0026,0.0014,,94.73,337.69,0.0034,0.0060,,,-0.0058,1.1738,94.7988,337.3072,0.0027,0.0049,,-0.0201,2.1465,94.7845,338.2798,0.0002,0.0064,,0.0757,0.0757,94.8804,336.2091,0.0008,0.0002,,0.1788,-3.7311,94.9835,332.4022,0.0019,0.0111
1/10/2020,7,94.16,329.05,,,94.87,332.91,0.0076,0.0117,,94.91,334.87,0.0080,0.0177,,94.95,335.85,0.0084,0.0207,,94.99,336.07,0.0088,0.0213,,,0.0251,0.8823,94.9784,336.7316,0.0087,0.0233,,0.0474,1.1743,95.0008,337.0236,0.0005,0.0035,,-0.0589,-0.0589,94.8944,335.7904,0.0006,0.0002,,-0.0832,-0.5190,94.8702,335.3303,0.0009,0.0015
1/13/2020,8,94.57,338.92,,,94.73,332.14,0.0017,0.0200,,94.61,332.54,0.0005,0.0188,,94.48,331.77,0.0009,0.0211,,94.32,330.45,0.0025,0.0250,,,-0.0754,-0.1101,94.4008,331.6596,0.0017,0.0214,,-0.1624,-0.9273,94.3137,330.8424,0.0017,0.0028,,0.2628,0.2628,94.7389,332.0325,0.0028,0.0008,,0.3651,3.1599,94.8413,334.9296,0.0039,0.0095
1/14/2020,9,93.47,338.69,,,94.69,333.49,0.0131,0.0153,,94.59,335.09,0.0120,0.0106,,94.53,336.06,0.0113,0.0078,,94.52,337.23,0.0112,0.0043,,,-0.0496,0.7699,94.4798,336.8298,0.0108,0.0055,,-0.0761,1.1597,94.4533,337.2196,0.0008,0.0035,,0.0731,0.0731,94.6026,336.1330,0.0008,0.0002,,0.0304,-2.8002,94.5598,333.2597,0.0003,0.0083
1/15/2020,10,93.10,339.07,,,94.45,334.53,0.0145,0.0134,,94.14,336.53,0.0112,0.0075,,93.89,337.64,0.0085,0.0042,,93.68,338.40,0.0062,0.0020,,,-0.1666,0.9316,93.7284,338.5695,0.0067,0.0015,,-0.2995,1.3270,93.5955,338.9650,0.0032,0.0039,,0.4099,0.4099,94.3049,338.0479,0.0044,0.0012,,0.5137,-1.8225,94.4086,335.8155,0.0055,0.0054
1/16/2020,11,93.90,338.62,,,94.18,335.44,0.0030,0.0094,,93.73,337.55,0.0018,0.0032,,93.42,338.50,0.0051,0.0004,,93.22,338.94,0.0072,0.0009,,,-0.2286,0.9171,93.1900,339.4143,0.0075,0.0023,,-0.3702,1.1399,93.0484,339.6371,0.0040,0.0034,,0.4498,0.4498,93.8684,338.9470,0.0048,0.0013,,0.4838,-1.0519,93.9024,337.4453,0.0052,0.0031
1/17/2020,12,93.24,339.67,,,94.12,336.08,0.0095,0.0106,,93.80,337.98,0.0060,0.0050,,93.71,338.57,0.0050,0.0032,,93.76,338.68,0.0056,0.0029,,,-0.1254,0.7484,93.5802,339.3193,0.0037,0.0010,,-0.1073,0.7134,93.5983,339.2843,0.0011,0.0021,,0.0077,0.0077,93.7133,338.5786,0.0001,0.0000,,-0.1329,-0.2693,93.5728,338.3016,0.0014,0.0008
1/21/2020,13,94.60,338.11,,,93.95,336.79,0.0069,0.0039,,93.57,338.65,0.0109,0.0016,,93.42,339.23,0.0124,0.0033,,93.34,339.47,0.0133,0.0040,,,-0.1567,0.7306,93.2671,339.9610,0.0141,0.0055,,-0.1771,0.6918,93.2467,339.9222,0.0019,0.0020,,0.1721,0.1721,93.5960,339.4025,0.0018,0.0005,,0.1989,-0.5815,93.6227,338.6489,0.0021,0.0017
1/22/2020,14,94.37,326.00,,,94.08,337.06,0.0031,0.0339,,93.98,338.44,0.0041,0.0381,,94.13,338.56,0.0026,0.0385,,94.35,338.38,0.0003,0.0380,,,0.0158,0.4501,94.1453,339.0082,0.0024,0.0399,,0.1760,0.1462,94.3056,338.7044,0.0019,0.0004,,-0.3546,-0.3546,93.7750,338.2036,0.0038,0.0010,,-0.5248,0.4215,93.6048,338.9796,0.0056,0.0012
1/23/2020,15,94.23,349.60,,,94.14,334.85,0.0010,0.0422,,94.14,333.46,0.0010,0.0462,,94.28,331.02,0.0005,0.0531,,94.37,328.48,0.0015,0.0604,,,0.0418,-1.1469,94.3174,329.8763,0.0009,0.0564,,0.1640,-2.9262,94.4397,328.0970,0.0017,0.0088,,-0.2295,-0.2295,94.0462,330.7938,0.0024,0.0007,,-0.2218,6.1122,94.0538,337.1355,0.0024,0.0185
